paper_id,original_root_pdf_name,original_output_basename,canonical_basename,canonical_pdf_path,canonical_json_path,canonical_markdown_path,canonical_chunks_path,title_extracted,first_author,year,naming_confidence,processing_status,notes
1,1176347265.pdf,1176347265,1989_kunsch_jackknife-bootstrap-stationary-observations,pdfs/1989_kunsch_jackknife-bootstrap-stationary-observations.pdf,json/1989_kunsch_jackknife-bootstrap-stationary-observations.json,markdown/1989_kunsch_jackknife-bootstrap-stationary-observations.md,chunks/1989_kunsch_jackknife-bootstrap-stationary-observations_chunks.json,jackknife bootstrap stationary observations,kunsch,1989,high,renamed,"Kunsch 1989, Ann. Statist. OCR quality fair."
2,angeo-22-1001-2004.pdf,angeo-22-1001-2004,2004_wang_pdl-magnetosheath-flow-structure-forces,pdfs/2004_wang_pdl-magnetosheath-flow-structure-forces.pdf,json/2004_wang_pdl-magnetosheath-flow-structure-forces.json,markdown/2004_wang_pdl-magnetosheath-flow-structure-forces.md,chunks/2004_wang_pdl-magnetosheath-flow-structure-forces_chunks.json,pdl magnetosheath flow structure forces,wang,2004,high,renamed,"Wang et al. 2004, Ann. Geophys."
3,angeo-22-1347-2004.pdf,angeo-22-1347-2004,2004_haaland_four-spacecraft-magnetopause-crossing-time,pdfs/2004_haaland_four-spacecraft-magnetopause-crossing-time.pdf,json/2004_haaland_four-spacecraft-magnetopause-crossing-time.json,markdown/2004_haaland_four-spacecraft-magnetopause-crossing-time.md,chunks/2004_haaland_four-spacecraft-magnetopause-crossing-time_chunks.json,four spacecraft magnetopause crossing time,haaland,2004,high,renamed,"Haaland et al. 2004, Ann. Geophys."
4,angeo-25-971-2007.pdf,angeo-25-971-2007,2007_dekeyser_least-squares-gradient-multipoint-cluster,pdfs/2007_dekeyser_least-squares-gradient-multipoint-cluster.pdf,json/2007_dekeyser_least-squares-gradient-multipoint-cluster.json,markdown/2007_dekeyser_least-squares-gradient-multipoint-cluster.md,chunks/2007_dekeyser_least-squares-gradient-multipoint-cluster_chunks.json,least squares gradient multipoint cluster,dekeyser,2007,high,renamed,"De Keyser et al. 2007, Ann. Geophys."
5,angeo-27-3949-2009.pdf,angeo-27-3949-2009,2009_zhou_error-estimation-multi-spacecraft-timing,pdfs/2009_zhou_error-estimation-multi-spacecraft-timing.pdf,json/2009_zhou_error-estimation-multi-spacecraft-timing.json,markdown/2009_zhou_error-estimation-multi-spacecraft-timing.md,chunks/2009_zhou_error-estimation-multi-spacecraft-timing_chunks.json,error estimation multi spacecraft timing,zhou,2009,high,renamed,"Zhou et al. 2009, Ann. Geophys."
6,angeo-29-2239-2011.pdf,angeo-29-2239-2011,2011_vogt_accuracy-multipoint-boundary-crossing-time,pdfs/2011_vogt_accuracy-multipoint-boundary-crossing-time.pdf,json/2011_vogt_accuracy-multipoint-boundary-crossing-time.json,markdown/2011_vogt_accuracy-multipoint-boundary-crossing-time.md,chunks/2011_vogt_accuracy-multipoint-boundary-crossing-time_chunks.json,accuracy multipoint boundary crossing time,vogt,2011,high,renamed,"Vogt et al. 2011, Ann. Geophys."
7,angeo-31-319-2013.pdf,angeo-31-319-2013,2013_archer_magnetosheath-dynamic-pressure-enhancements,pdfs/2013_archer_magnetosheath-dynamic-pressure-enhancements.pdf,json/2013_archer_magnetosheath-dynamic-pressure-enhancements.json,markdown/2013_archer_magnetosheath-dynamic-pressure-enhancements.md,chunks/2013_archer_magnetosheath-dynamic-pressure-enhancements_chunks.json,magnetosheath dynamic pressure enhancements,archer,2013,high,renamed,"Archer & Horbury 2013, Ann. Geophys."
8,assessing-the-performance-of-magnetopause-models-based-on-themis-data.pdf,assessing-the-performance-of-magnetopause-models-based-on-themis-data,2024_lin_magnetopause-model-performance-themis,pdfs/2024_lin_magnetopause-model-performance-themis.pdf,json/2024_lin_magnetopause-model-performance-themis.json,markdown/2024_lin_magnetopause-model-performance-themis.md,chunks/2024_lin_magnetopause-model-performance-themis_chunks.json,magnetopause model performance themis,lin,2024,high,renamed,"Lin et al. 2024, Earth Planet. Phys."
9,epp2023065.pdf,epp2023065,2023_jung_mshpy23-magnetosheath-parameterized-model,pdfs/2023_jung_mshpy23-magnetosheath-parameterized-model.pdf,json/2023_jung_mshpy23-magnetosheath-parameterized-model.json,markdown/2023_jung_mshpy23-magnetosheath-parameterized-model.md,chunks/2023_jung_mshpy23-magnetosheath-parameterized-model_chunks.json,mshpy23 magnetosheath parameterized model,jung,2023,high,renamed,"Jung et al. 2023, Earth Planet. Phys."
10,file.pdf,file,2013_sandve_ten-rules-reproducible-computational-research,pdfs/2013_sandve_ten-rules-reproducible-computational-research.pdf,json/2013_sandve_ten-rules-reproducible-computational-research.json,markdown/2013_sandve_ten-rules-reproducible-computational-research.md,chunks/2013_sandve_ten-rules-reproducible-computational-research_chunks.json,ten rules reproducible computational research,sandve,2013,high,renamed,"Sandve et al. 2013, PLoS Comput. Biol. Original filename was 'file.pdf'."
