eid,probe,date,cone_deg,tranche,dp_nPa,bz_nT,ma,route_b_computable,route_b_descriptor_computed,occ_very_near,occ_near,occ_background,n_median_very_near,n_median_near,n_median_bg,b_median_very_near,b_median_near,b_median_bg,delta_n_near,delta_b_near,Dn_recomputed,EB_recomputed,transition_cleanliness_qc,disturbance_qc,omni_context_quality_note,boundary_uncertainty_note
usable_aug18_6h,thd,2008-08-18,30.7,1,4.25,0.33,11.2,True,True,0.1336,0.1526,0.487,1.5891,2.1015,18.5762,50.0542,48.7006,19.4605,0.7562,1.0278,0.1131,2.5025,clean,undisturbed,good,plausible
usable_sep03_5h,thd,2008-09-03,56.2,1,3.69,0.51,5.9,True,True,0.3345,0.1863,0.2111,43.7535,44.7631,15.5886,53.9658,42.0783,52.6038,0.9774,1.2825,2.8715,0.7999,clean,undisturbed,good,plausible
usable_sep26_09_10h,thd,2009-09-26,84.6,1,3.045,0.85,15.05,True,True,0.1471,0.1835,0.4038,1.7273,62.6138,67.1938,59.007,28.7168,14.9091,0.0276,2.0548,0.9318,1.9261,clean,undisturbed,good,plausible
usable_sep27_09_10h,thd,2009-09-27,56.6,1,3.12,-1.71,20.6,True,True,0.0681,0.1566,0.5729,85.2265,86.7869,66.2498,14.5115,15.4615,12.7445,0.982,0.9386,1.31,1.2132,mixed,undisturbed,good,plausible
t2_20080904_thd,thd,2008-09-04,43.3,2,2.56,-0.15,12.7,True,True,0.0452,0.2105,0.0,16.8465,16.0058,,21.4144,19.987,,1.0525,1.0714,,,mixed,undisturbed,good,plausible
cand4a_sep19_08_the,the,2008-09-19,64.2,1,2.77,-1.82,21.1,False,False,0.0,0.1159,0.2884,,39.6792,51.9285,,24.7946,11.3814,,,0.7641,2.1785,not_computable,uncertain,good,plausible
usable_sep13_09_6h,thd,2009-09-13,61.2,1,3.14,-1.35,9.4,False,False,0.0015,0.1744,0.4704,2.4634,31.0337,79.5246,53.9888,48.9307,24.8701,0.0794,1.1034,0.3902,1.9675,clean,uncertain,good,plausible
usable_sep20_09_6h,thd,2009-09-20,70.0,1,3.02,1.42,10.9,False,False,0.0,0.0937,0.4635,,54.3865,56.2773,,34.4102,23.2319,,,0.9664,1.4812,not_computable,uncertain,good,plausible
usable_oct24_09_6h,thd,2009-10-24,86.4,1,4.23,-0.5,11.2,False,False,0.0,0.1393,0.6491,,33.5488,15.4102,,32.0989,7.6352,,,2.1771,4.2041,not_computable,uncertain,good,plausible
cand4a_oct23_10_thd,thd,2010-10-23,35.0,1,3.11,2.15,8.7,False,False,0.0,0.0855,0.0185,,18.7258,14.4881,,28.7683,28.0115,,,1.2925,1.027,not_computable,uncertain,good,plausible
t2_20090928_thd,thd,2009-09-28,42.9,2,,,,False,False,,,,,,,,,,,,,,,,,
t2_20090928_the,the,2009-09-28,43.6,2,,,,False,False,,,,,,,,,,,,,,,,,
