date,probe,cone_deg,dp_nPa,Dn,EB,qc_transition,qc_disturbance,boundary_note,omni_note
2007-08-11,tha,79.5,1.92,1.2918,2.3147,mixed,undisturbed,uncertain,good
2007-08-11,thc,81.4,1.99,1.0813,1.1089,mixed,undisturbed,uncertain,good
2007-08-11,the,81.4,1.98,1.0549,0.9192,unclear,undisturbed,uncertain,good
2007-08-11,thb,81.0,2.02,1.127,1.4377,mixed,undisturbed,plausible,good
2007-08-11,thd,81.4,1.98,1.0308,1.0363,mixed,undisturbed,uncertain,good
2007-08-12,tha,29.0,1.42,0.0318,3.1168,clean,undisturbed,uncertain,good
2007-08-12,thb,44.4,1.51,0.8386,2.9969,clean,undisturbed,uncertain,good
2007-08-12,thc,38.2,1.5,0.084,3.6001,clean,undisturbed,uncertain,good
2007-08-12,thd,37.4,1.5,0.05,3.5835,clean,undisturbed,uncertain,good
2007-08-13,tha,49.8,1.11,0.0309,4.318,clean,undisturbed,uncertain,good
2007-08-13,thb,39.1,1.05,0.0231,3.5996,clean,undisturbed,uncertain,good
2007-08-13,thc,42.5,1.06,0.0164,3.564,clean,undisturbed,uncertain,good
2007-08-13,thd,44.2,1.07,0.0104,3.821,clean,undisturbed,uncertain,good
2007-08-13,the,44.2,1.07,0.0157,4.3296,clean,undisturbed,uncertain,good
2007-08-15,thb,85.7,2.49,1.7427,0.726,unclear,undisturbed,plausible,good
2007-08-15,tha,75.0,2.11,0.0603,3.9784,clean,undisturbed,plausible,good
2007-08-15,thc,86.3,2.42,1.3532,1.4565,mixed,uncertain,plausible,good
2007-08-15,the,85.7,2.4,1.5321,0.96,unclear,undisturbed,plausible,good
2007-08-15,thd,85.7,2.4,1.3836,1.376,mixed,undisturbed,plausible,good
2007-08-16,thb,57.2,2.56,0.1229,2.6606,clean,undisturbed,plausible,good
2007-08-16,tha,47.8,2.41,0.0186,2.907,clean,undisturbed,plausible,good
2007-08-16,thd,50.5,2.54,0.0211,3.3383,clean,undisturbed,plausible,good
2007-08-16,thc,52.1,2.54,0.7591,1.9732,clean,undisturbed,plausible,good
2007-08-16,the,50.5,2.54,0.0198,3.3098,clean,undisturbed,plausible,good
2007-08-17,thc,85.2,1.56,0.0306,2.9895,clean,undisturbed,uncertain,good
2007-08-17,thd,86.5,1.57,0.0315,3.401,clean,uncertain,uncertain,good
2007-08-17,thb,84.5,1.55,0.0696,4.0548,clean,undisturbed,uncertain,good
2007-08-17,tha,85.9,1.65,0.0444,2.7764,clean,undisturbed,uncertain,good
2007-08-17,the,86.6,1.57,0.0236,2.7984,clean,undisturbed,uncertain,good
2007-08-19,tha,43.7,1.67,0.0327,2.3086,clean,uncertain,uncertain,good
2007-08-19,thc,78.0,1.71,0.0295,2.8178,clean,uncertain,uncertain,good
2007-08-19,thb,83.5,1.72,0.029,3.4366,clean,undisturbed,uncertain,good
2007-08-19,thd,76.5,1.69,0.0295,2.8344,clean,uncertain,uncertain,good
2007-08-19,the,76.4,1.69,0.031,2.9038,clean,undisturbed,uncertain,good
2007-08-22,thb,87.2,1.35,1.0089,1.2597,mixed,undisturbed,uncertain,good
2007-08-22,thd,87.2,1.35,1.0207,1.4365,mixed,undisturbed,uncertain,good
2007-08-22,the,87.2,1.35,1.0062,1.5485,mixed,undisturbed,uncertain,good
2007-08-22,thc,87.2,1.35,1.024,1.2912,mixed,undisturbed,uncertain,good
2007-08-25,tha,45.7,3.29,0.1313,7.3591,clean,undisturbed,plausible,good
2007-08-25,thb,55.4,3.97,0.0216,2.9114,clean,undisturbed,plausible,good
2007-08-25,thc,54.2,3.85,0.0254,2.8277,clean,undisturbed,plausible,good
2007-08-25,thd,53.8,3.81,0.0239,2.7766,clean,undisturbed,plausible,good
2007-08-25,the,53.4,3.8,0.0223,2.7351,clean,undisturbed,plausible,good
2007-08-26,tha,60.3,3.65,0.726,1.0376,clean,undisturbed,plausible,good
2007-08-26,thb,60.3,3.65,0.8968,1.3104,clean,undisturbed,plausible,good
2007-08-26,thc,60.3,3.65,0.676,1.627,clean,undisturbed,plausible,good
2007-08-26,thd,60.3,3.65,0.6787,1.7351,clean,undisturbed,plausible,good
2007-08-26,the,60.3,3.65,0.7288,1.5901,clean,undisturbed,plausible,good
2008-08-18,the,48.8,3.87,1.3809,1.7102,mixed,undisturbed,plausible,good
2008-08-18,thd,50.6,3.55,0.7524,1.3402,clean,undisturbed,plausible,good
2008-08-28,thc,65.4,1.61,0.0221,3.5582,clean,undisturbed,uncertain,good
2008-08-28,thb,65.4,1.61,0.0864,12.4706,clean,undisturbed,uncertain,good
2008-09-03,thc,55.6,1.42,0.0208,5.4418,clean,undisturbed,uncertain,good
2008-09-03,the,60.4,3.33,2.3844,0.8841,unclear,undisturbed,plausible,good
2008-09-05,thc,52.3,1.44,0.1948,3.4403,clean,undisturbed,uncertain,good
2008-09-05,thb,52.3,1.44,0.8051,11.8841,clean,undisturbed,uncertain,good
2008-09-09,thc,49.4,1.64,0.2588,5.7949,clean,undisturbed,uncertain,good
2008-09-09,thb,49.4,1.64,0.4893,17.3015,clean,undisturbed,uncertain,good
2008-09-14,thc,54.4,6.74,0.4201,9.7028,clean,undisturbed,uncertain,good
2008-09-14,thd,61.5,6.74,4.5909,2.5982,mixed,uncertain,uncertain,good
2008-09-14,the,52.4,6.81,3.5874,2.0909,mixed,uncertain,uncertain,good
2008-09-16,thc,66.3,1.06,0.5002,5.3773,clean,undisturbed,uncertain,good
2008-09-16,thb,65.6,1.06,0.5508,17.1507,clean,undisturbed,uncertain,good
2008-09-20,thc,44.4,1.5,0.0684,4.3722,clean,uncertain,uncertain,good
2008-09-20,thb,43.0,1.5,0.1366,15.0692,clean,undisturbed,uncertain,good
2009-09-13,tha,70.0,2.09,1.0488,1.8518,mixed,undisturbed,plausible,good
2009-09-13,thd,65.7,3.87,0.8181,1.6512,clean,undisturbed,plausible,good
2009-09-13,the,62.7,4.03,0.974,1.7736,clean,undisturbed,plausible,good
2009-09-26,thd,67.9,2.93,0.7368,2.4284,clean,undisturbed,plausible,good
2009-09-26,the,58.6,3.07,0.9713,1.3659,clean,undisturbed,plausible,good
2009-09-27,the,70.1,2.99,0.9893,1.3572,clean,uncertain,plausible,good
2009-09-27,thd,64.2,2.99,0.9162,1.8664,clean,uncertain,plausible,good
2009-10-16,tha,50.9,1.4,1.164,1.7609,mixed,undisturbed,uncertain,good
2009-10-16,thc,60.1,0.81,3.1331,5.8343,mixed,uncertain,uncertain,good
2009-10-22,tha,81.1,3.25,1.2353,1.5673,mixed,uncertain,plausible,good
2009-10-22,thd,81.6,2.24,3.6713,4.8268,mixed,undisturbed,plausible,good
2010-10-11,thd,67.9,3.82,0.007,2.2085,clean,undisturbed,plausible,good
2010-10-11,the,67.5,4.04,0.006,2.0575,clean,undisturbed,plausible,good
2010-10-11,tha,67.4,4.05,0.4931,1.9133,clean,undisturbed,plausible,good
2010-10-23,tha,53.6,3.57,1.3771,1.2582,mixed,undisturbed,plausible,good
2010-10-23,thd,57.3,3.71,1.3667,1.2105,mixed,undisturbed,plausible,good
2010-10-23,the,53.4,3.55,1.3701,1.2534,mixed,undisturbed,plausible,good
2010-11-10,thd,80.7,3.56,1.4654,2.3535,mixed,uncertain,plausible,good
2010-11-10,the,84.6,3.76,1.962,2.046,mixed,undisturbed,plausible,good
2010-11-10,tha,81.6,3.69,1.5765,2.9298,mixed,undisturbed,plausible,good
