encounter_id,spacecraft,date,year,month,probe,sza_deg,mlt,cone_deg,clock_deg,dp_nPa,bz_nT,near_occ,bg_occ,Dn,EB,qc_transition_cleanliness,qc_disturbance,qc_boundary_motion,omni_context_quality_note,boundary_uncertainty_note,routeC_core_usable,exclude_reason,cone_bin
exp_20070702_tha,themis,2007-07-02,2007,7,tha,13.9,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070701_thd,themis,2007-07-01,2007,7,thd,13.7,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070701_the,themis,2007-07-01,2007,7,the,13.8,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070701_thb,themis,2007-07-01,2007,7,thb,13.7,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070702_thb,themis,2007-07-02,2007,7,thb,13.9,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070702_thc,themis,2007-07-02,2007,7,thc,14.0,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070703_thc,themis,2007-07-03,2007,7,thc,14.2,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070702_thd,themis,2007-07-02,2007,7,thd,13.9,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070703_tha,themis,2007-07-03,2007,7,tha,14.1,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070703_thb,themis,2007-07-03,2007,7,thb,14.1,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070702_the,themis,2007-07-02,2007,7,the,14.0,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070703_the,themis,2007-07-03,2007,7,the,14.2,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070704_tha,themis,2007-07-04,2007,7,tha,16.8,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070704_thb,themis,2007-07-04,2007,7,thb,14.3,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070704_thd,themis,2007-07-04,2007,7,thd,14.3,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070704_thc,themis,2007-07-04,2007,7,thc,14.4,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070704_the,themis,2007-07-04,2007,7,the,14.5,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070705_tha,themis,2007-07-05,2007,7,tha,14.2,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070705_thb,themis,2007-07-05,2007,7,thb,14.4,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070705_thd,themis,2007-07-05,2007,7,thd,14.3,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070705_thc,themis,2007-07-05,2007,7,thc,14.3,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070706_tha,themis,2007-07-06,2007,7,tha,14.4,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070706_thb,themis,2007-07-06,2007,7,thb,14.5,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070705_the,themis,2007-07-05,2007,7,the,14.4,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070706_thc,themis,2007-07-06,2007,7,thc,14.5,,,,,,,,,,,,,,,False,no MOM data,unknown
exp_20070706_thd,themis,2007-07-06,2007,7,thd,14.4,,,,,,,,,,,,,,,False,no MOM data,unknown
