encounter_id,date,year,month,probe,sza_deg,mlt,cone_deg,clock_deg,dp_nPa,bz_nT,near_occ,bg_occ,Dn,EB,cone_bin_calc,retained,qc_transition_cleanliness,qc_disturbance,qc_boundary_motion,omni_context_quality_note,boundary_uncertainty_note,r_re,x_gsm_re
2007-08-05_tha,2007-08-05,2007,8,tha,15.9,11.9,60.4,250.4,1.2,-0.82,0.0722,0.7427,1.3121,1.0998,perpendicular,True,mixed,uncertain,uncertain,good,uncertain,13.8,13.28
2007-08-06_tha,2007-08-06,2007,8,tha,15.9,11.9,60.2,250.4,1.2,-0.82,0.075,0.7399,1.317,1.0835,perpendicular,True,mixed,uncertain,uncertain,good,uncertain,13.8,13.27
2007-08-08_tha,2007-08-08,2007,8,tha,15.4,11.7,25.2,86.5,1.15,0.07,0.1699,0.4684,0.6577,2.4045,quasi-radial,True,clean,undisturbed,uncertain,good,uncertain,13.27,12.79
2007-08-09_tha,2007-08-09,2007,8,tha,15.7,11.9,57.1,68.1,1.84,1.26,0.1289,0.6568,1.1408,1.7508,intermediate,True,mixed,undisturbed,uncertain,good,uncertain,13.01,12.52
2007-08-10_tha,2007-08-10,2007,8,tha,15.8,12.0,56.6,69.1,1.84,1.2,0.1289,0.6174,1.1226,1.7247,intermediate,True,mixed,undisturbed,uncertain,good,uncertain,12.88,12.4
2007-08-11_tha,2007-08-11,2007,8,tha,15.8,11.6,79.5,98.7,1.92,-0.3,0.1176,0.6133,1.2918,2.3147,perpendicular,True,mixed,undisturbed,uncertain,good,uncertain,12.71,12.24
2007-08-11_thb,2007-08-11,2007,8,thb,16.0,11.7,81.0,81.7,2.02,0.38,0.1211,0.6614,1.127,1.4377,perpendicular,True,mixed,undisturbed,stable,good,plausible,12.85,12.36
2007-08-11_thc,2007-08-11,2007,8,thc,16.0,11.7,81.4,84.5,1.99,0.25,0.1222,0.6502,1.0813,1.1089,perpendicular,True,mixed,undisturbed,uncertain,good,uncertain,12.86,12.36
2007-08-11_thd,2007-08-11,2007,8,thd,16.0,11.7,81.4,86.9,1.98,0.14,0.1212,0.6386,1.0308,1.0363,perpendicular,True,mixed,undisturbed,uncertain,good,uncertain,12.8,12.3
2007-08-11_the,2007-08-11,2007,8,the,16.1,11.7,81.4,86.0,1.98,0.18,0.1211,0.6726,1.0549,0.9192,perpendicular,True,unclear,undisturbed,uncertain,good,uncertain,12.95,12.45
2007-08-12_tha,2007-08-12,2007,8,tha,15.2,11.7,29.0,92.6,1.42,-0.01,0.1672,0.3417,0.0318,3.1168,quasi-radial,True,clean,undisturbed,uncertain,good,uncertain,12.36,11.93
2007-08-12_thb,2007-08-12,2007,8,thb,15.5,11.6,44.4,135.5,1.51,-0.28,0.1334,0.435,0.8386,2.9969,low-cone,True,clean,undisturbed,uncertain,good,uncertain,12.52,12.06
2007-08-12_thc,2007-08-12,2007,8,thc,15.5,11.6,38.2,111.9,1.5,-0.23,0.1424,0.4283,0.084,3.6001,low-cone,True,clean,undisturbed,uncertain,good,uncertain,12.51,12.06
2007-08-12_thd,2007-08-12,2007,8,thd,15.4,11.6,37.4,108.3,1.5,-0.2,0.1437,0.4119,0.05,3.5835,low-cone,True,clean,undisturbed,uncertain,good,uncertain,12.45,12.0
